rank,category,Youtuber,video views,subscribers,,Category,Total_Views,Total_Subscribers
490,Entertainment,Like Nastya VNM,9867515979,17900000,,,,
678,People & Blogs,Chetan Monga Vlogs,9924103188,15000000,,,,
442,Education,Little Angel Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,9813245108,18900000,,,,
586,Music,POPS Kids,9763592867,16200000,,,,
618,Film & Animation,Volga Video,9787697838,15700000,,,,
356,nan,Vlad and Niki IDN,9789121606,21000000,,,,
531,Entertainment,TRANS TV Official,9710962528,17100000,,,,
405,Film & Animation,Green Gold TV - Official Channel,9715291883,20000000,,,,
837,Pets & Animals,BBC,9685060624,13600000,,,,
798,Music,Gallina Pintadita,9660950823,14000000,,,,
479,Sports,How Ridiculous,9601137077,18000000,,,,
334,Autos & Vehicles,DUDU e CAROL,9597894786,21600000,,,,
448,Entertainment,ýýýýýýýýýýýýýýýýýýýýýý,9594188708,18800000,,,,
447,Music,Farruko,9573641299,18800000,,,,
858,News & Politics,GMA Integrated News,9569814790,13400000,,,,
825,Comedy,The Vishal bhatt,9596430464,13700000,,,,
542,People & Blogs,Danny Fitt,9544277833,16900000,,,,
673,Comedy,Rubï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,9477021288,15100000,,,,
928,Comedy,Adam W,9502983550,12800000,,,,
284,Film & Animation,Tilak,9465863821,23400000,,,,
569,Entertainment,Ch7HD,9463244435,16400000,,,,
558,Entertainment,SriBalajiMovies,9439857193,16600000,,,,
332,People & Blogs,Sourav Joshi Vlogs,9392093496,21700000,,,,
747,Entertainment,GMM25Thailand,9383692066,14500000,,,,
884,People & Blogs,ýýýýýýTwinsFromRussia,9378175604,13200000,,,,
293,Music,unknown boy varun,9299371231,23100000,,,,
336,Entertainment,Eva Bravo Play,9346383505,21600000,,,,
307,Comedy,Heroindori,9223534599,22600000,,,,
541,Comedy,Aayu and Pihu Show,9270331567,16900000,,,,
506,Gaming,zbing z.,9269174070,17600000,,,,
611,Music,MK MUSIC,9198986881,15900000,,,,
751,Music,Hear This Music,9201428420,14500000,,,,
890,Entertainment,Ian Boggs,9110348202,13100000,,,,
868,People & Blogs,Kids Lineï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,9088562002,13300000,,,,
991,Sports,Natan por Aï¿,9029609749,12300000,,,,
804,Entertainment,karameeshchannel,9106781518,13900000,,,,
538,Gaming,Guava Juice,9111000228,16900000,,,,
710,Music,Jorge & Mateus Oficial,9076642765,14800000,,,,
612,Gaming,Unspeakable,9052367553,15900000,,,,
504,Film & Animation,Les' Copaque Production,9059696049,17700000,,,,
766,Film & Animation,Zig & Sharko,9023952946,14400000,,,,
629,People & Blogs,Blippi Espaï¿½ï,8984089026,15500000,,,,
484,Film & Animation,BeatboxJCOP,8716982055,18000000,,,,
693,Entertainment,A2 Motivation by Arvind Arora,8932038210,15000000,,,,
679,Entertainment,Little Angel - Mï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,8897705695,15000000,,,,
394,Gaming,AuthenticGames,8920141342,20100000,,,,
722,Education,Netflix Jr.,8882319696,14700000,,,,
906,Gaming,GH'S,8739174649,13000000,,,,
714,People & Blogs,5-Minute Crafts Recycle,8866012877,14800000,,,,
947,Music,NickiMinajAtVEVO,8831179714,12600000,,,,
551,Entertainment,With Kids[ï¿½ï¿½ï¿½ï¿½ï,8826138204,16700000,,,,
417,Entertainment,tabii Urdu,8779729549,19600000,,,,
374,Gaming,LazarBeam,8768697257,20500000,,,,
455,Gaming,ýýýýýýýý ýýýýýýýýýý ýýýýýýýýýý | Arab Games Network,8761255550,18600000,,,,
623,Entertainment,Prime Video India,8696631898,15700000,,,,
368,People & Blogs,tuzelity SHUFFLE,8658941531,20700000,,,,
537,Music,Pop Chartbusters,8684010451,16900000,,,,
686,Entertainment,THE BROWN SIBLINGS,8658553456,15000000,,,,
797,Music,Luli Pampï¿½,8623705301,14000000,,,,
709,People & Blogs,Meghan Trainor,8649303688,14800000,,,,
190,Film & Animation,Goldmines Dishoom,8603468420,28000000,,,,
211,Film & Animation,Goldmines Bollywood,8595760553,26400000,,,,
320,nan,Vlad and Niki ESP,8594440895,22000000,,,,
746,Entertainment,Telemundo,8582696157,14500000,,,,
811,nan,ýýýýýýýý ýý ýýýýýýýýýýýý,8451754769,13900000,,,,
261,Music,DJ Snake,8425505919,24100000,,,,
333,nan,ZAMZAM ELECTRONICS TRADING,8507818877,21700000,,,,
658,Entertainment,Oyuncak Avï¿,8333387785,15200000,,,,
436,Film & Animation,Wow Kidz Action,8281724393,19000000,,,,
633,Shows,ýýýýýýýý ýý ýýýýýýýý,8265129639,15500000,,,,
844,Entertainment,Lady Diana,8265920659,13500000,,,,
266,Gaming,Preston,8279004442,24000000,,,,
730,Gaming,PrestonPlayz,5766647017,14600000,,,,
9,People & Blogs,Like Nastya,90479060027,106000000,,,,
459,People & Blogs,Like Nastya Vlog,8147575884,18500000,,,,
829,Music,Wesley Safadï¿½,8134379376,13700000,,,,
583,Entertainment,Kids Play,8091706232,16200000,,,,
695,Entertainment,MNCTV OFFICIAL,8074260978,14900000,,,,
765,Entertainment,RS 1313 SHORTS,8011977288,14400000,,,,
315,Music,Paulo Londra,8040036209,22400000,,,,
418,Film & Animation,DaFuq!?Boom!,7906181776,19600000,,,,
733,Music,Fifth Harmony,7952268926,14600000,,,,
289,Entertainment,Akshay Nagwadiya,7966720147,23200000,,,,
847,Entertainment,Vijay Kumar Viner Vlogs,7958771872,13500000,,,,
205,Entertainment,Renato Garcia YT,7938616641,26900000,,,,
285,Film & Animation,Valentina Pontes ofc,7926899136,23400000,,,,
281,Film & Animation,Peppa Pig Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,7920637200,23600000,,,,
869,Entertainment,VexTrex,7923901253,13300000,,,,
929,Education,Right to Shiksha,7876740921,12800000,,,,
499,People & Blogs,jaanvi patel,7912733203,17700000,,,,
672,Music,BIGBANG,7857371770,15100000,,,,
56,Entertainment,Vocï¿½ï¿½ï¿½,7828610828,44700000,,,,
632,Education,Infobells Bangla,7776706184,15500000,,,,
870,Gaming,penguinz0,7773543609,13300000,,,,
354,Entertainment,Rafa & Luiz,7762905663,21000000,,,,
467,Entertainment,Miley Cyrus,7760819588,18300000,,,,
982,People & Blogs,Pari's Lifestyle,7741764747,12400000,,,,
796,Gaming,ýýýýýýýýýýýý,7719743112,14000000,,,,
502,Entertainment,Porta dos Fundos,7739048000,17700000,,,,
200,Entertainment,Crazy XYZ,7705492350,27300000,,,,
981,Film & Animation,Zee Kids,7683670251,12400000,,,,
371,Comedy,Bizarrap,7657171980,20600000,,,,
971,Comedy,_vector_,7597013023,12400000,,,,
187,Entertainment,Shemaroo Movies,7600740993,28200000,,,,
514,Entertainment,Fun For Kids TV - Hindi Rhymes,7612385622,17500000,,,,
429,Entertainment,Sonotek,7590582024,19200000,,,,
657,Entertainment,T-Series Hamaar Bhojpuri,7564652648,15200000,,,,
918,People & Blogs,AlArabiya ï¿½ï¿½ï¿½ï¿½ï¿,7520379951,12900000,,,,
576,Music,Little Mix,7520242626,16300000,,,,
962,Music,elcarteldesantatv,7489455451,12500000,,,,
806,People & Blogs,Dental Digest,7450345720,13900000,,,,
225,People & Blogs,LosPolinesios,7466926260,25700000,,,,
411,People & Blogs,Troom Troom Es,7452667615,19700000,,,,
557,News & Politics,NMF News,7435180827,16600000,,,,
75,Gaming,elrubiusOMG,7410536668,40400000,,,,
565,Entertainment,FunFun Toy Doll TV,7406207930,16500000,,,,
594,nan,Vlad and Niki ARA,7399296005,16100000,,,,
497,nan,Jane ASMR ï¿½ï¿½,7387621644,17700000,,,,
871,Comedy,Just For Laughs Gags,7406628736,13300000,,,,
85,Nonprofits & Activism,TEDx Talks,7339333120,38600000,,,,
526,Music,Anitta,7337212581,17200000,,,,
513,News & Politics,News18 India,7263619576,17500000,,,,
377,People & Blogs,Jake Paul,7311322368,20400000,,,,
388,Education,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,7274150246,20200000,,,,
435,Howto & Style,SUPER SLICK SLIME SAM,7229175322,19000000,,,,
269,People & Blogs,Diana and Roma EN,7213499085,23900000,,,,
599,nan,Panda Shorts,7155736006,16100000,,,,
656,Entertainment,Sony LIV,7151683497,15200000,,,,
547,Entertainment,Like Nastya IDN,7195314800,16800000,,,,
208,Entertainment,Netflix,7173668905,26700000,,,,
721,Comedy,CollegeHumor,7255848125,14700000,,,,
485,People & Blogs,David Dobrik,7176572299,17900000,,,,
626,Science & Technology,Linus Tech Tips,7172386509,15600000,,,,
579,Entertainment,Bollywood Classics,7141825267,16300000,,,,
680,Gaming,League of Legends,7159750970,15000000,,,,
568,Sports,UFC - Ultimate Fighting Championship,7135820721,16400000,,,,
550,Gaming,CoryxKenshin,7102965621,16700000,,,,
564,News & Politics,BBC News Hindi,7043235131,16500000,,,,
462,Comedy,TheWillyrex,7038827526,18400000,,,,
708,Howto & Style,ýýýýýýýý ýýýýýýýý,7018015062,14800000,,,,
453,nan,Smile Family Spanish,7008250496,18600000,,,,
990,Music,Migos ATL,6993406259,12400000,,,,
948,Music,Ellie Goulding,6969178081,12600000,,,,
927,Entertainment,MrSuicideSheep,6970899521,12800000,,,,
955,Education,Little Baby Bum en Espaï¿½ï,6956320454,12500000,,,,
980,Gaming,DaniRep | +6 Vï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,6933660906,12400000,,,,
737,Entertainment,Like Nastya Stories,6944967581,14500000,,,,
597,Entertainment,Daily Dose Of Internet,6872702790,16100000,,,,
789,Music,Lana Del Rey,6884215292,14100000,,,,
684,Gaming,Kwebbelkop,6889304306,15000000,,,,
489,Music,Demi Lovato,6888074944,17900000,,,,
625,Gaming,Kuplinov ï¿½ï¿½ï¿,6862529416,15600000,,,,
613,Music,Camilo,6802382479,15900000,,,,
926,Howto & Style,Troom Troom India,6804072897,12800000,,,,
503,News & Politics,News 24,8396875537,17700000,,,,
280,Entertainment,Maya and Mary,6766461070,23600000,,,,
143,Howto & Style,GENIAL,6762424690,31800000,,,,
720,Comedy,Chad Wild Clay,6751985988,14700000,,,,
671,Gaming,EdisonPts,6668507856,15100000,,,,
925,Music,Duo Tiempo De Sol,6662288136,12800000,,,,
820,Shows,Kids TV India Hindi Nursery Rhymes,6646953396,13800000,,,,
660,News & Politics,NDTV India,6624168155,15200000,,,,
621,Music,Team Films Bhojpuri,6626563508,15700000,,,,
254,Film & Animation,Pen Movies,6608773195,24300000,,,,
393,Music,Skrillex,6618524158,20100000,,,,
575,Music,Camila Cabello,6613422635,16300000,,,,
204,Comedy,Brent Rivera,6570935979,27000000,,,,
268,Entertainment,Collins Key,6582932625,23900000,,,,
777,Education,infobells - Kannada,6554000320,14200000,,,,
574,Music,Boyce Avenue,6578828147,16300000,,,,
764,nan,Vlad and Niki PRT,6543282459,14400000,,,,
610,Gaming,Lyna,6534326412,15900000,,,,
602,People & Blogs,sagar kalra (Shorts),6543629679,16000000,,,,
867,People & Blogs,ýýýýýýýýýýýýýýýýýý,6482687220,13300000,,,,
231,People & Blogs,Rans Entertainment,6430853035,25400000,,,,
874,Gaming,AzzyLand,6412313570,13300000,,,,
483,Gaming,TheGrefg,6404852037,18000000,,,,
631,Music,Katakit Baby TV,6386271870,15500000,,,,
655,Music,SRK MUSIC,6391679636,15200000,,,,
637,Entertainment,Talking Tom & Friends,6396049701,15500000,,,,
433,Music,Lil Nas X,6339584661,19100000,,,,
909,Entertainment,Susy Mouriz,6270909026,13000000,,,,
510,Gaming,DeGoBooM,6306204566,17600000,,,,
917,Music,Akon,6300933122,12900000,,,,
745,Music,Aadishakti Films,6290721701,14500000,,,,
343,People & Blogs,The Royalty Family,6269945014,21300000,,,,
342,Music,Sidhu Moose Wala,6264261757,21400000,,,,
154,Entertainment,TheDonato,6187804950,31200000,,,,
988,Music,Avril Lavigne,6202090191,12400000,,,,
628,People & Blogs,5-Minute Crafts FAMILY,6165757696,15600000,,,,
398,Howto & Style,5-Minute Crafts PLAY,6119294270,20100000,,,,
391,Gaming,MiawAug,6098644584,20200000,,,,
788,Entertainment,Yudist Ardhana,6036496916,14100000,,,,
452,Entertainment,Shemaroo Comedy,6047584292,18600000,,,,
771,Music,Wish 107.5,6048517979,14200000,,,,
862,Gaming,theRadBrad,6050102764,13300000,,,,
297,Entertainment,DrossRotzank,6041264489,23000000,,,,
130,People & Blogs,Ricis Official,5994136760,33300000,,,,
731,Music,Martin Garrix,6017932195,14600000,,,,
606,Film & Animation,Totoy kids - Espaï¿½ï,5997599089,16000000,,,,
942,nan,Heidi y Zidane,6001189018,12700000,,,,
263,Entertainment,KSI,6002166932,24100000,,,,
279,Entertainment,Logan Paul,5994002464,23600000,,,,
702,Gaming,TazerCraft,5956193599,14900000,,,,
323,People & Blogs,Zach Choi ASMR,5918314128,21900000,,,,
619,Music,DM - Desi Melodies,5914071870,15700000,,,,
337,People & Blogs,Tekashi 6ix9ine,5890180734,21500000,,,,
335,Howto & Style,Village Cooking Channel,5863377051,21600000,,,,
924,Comedy,Melon City Show - ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,5863456698,12800000,,,,
561,Entertainment,Jordan Matter,5819508534,16600000,,,,
351,Howto & Style,Tasty,5783557209,21100000,,,,
408,People & Blogs,Crafty Panda,5759442450,19800000,,,,
819,News & Politics,Geo News,5727888539,13800000,,,,
144,Science & Technology,MR. INDIAN HACKER,5711208484,31700000,,,,
803,Gaming,Jazzghost,5673347763,13900000,,,,
72,People & Blogs,Kimberly Loaiza,5603111948,41300000,,,,
327,Science & Technology,National Geographic,5614621131,21800000,,,,
921,Shows,ýýýýýýýý ýýýý ýýýýýýýýýýýýýý,5585085130,12900000,,,,
935,nan,Diana and Roma IND,5567832210,12700000,,,,
622,Music,Zee Music Classic,5558051295,15700000,,,,
699,Entertainment,ýýýýýýýýýýýý8 : Thai Ch8,5549770244,14900000,,,,
843,Music,Awakening Music,5545936485,13500000,,,,
735,Comedy,Noman Official,5525773746,14600000,,,,
424,Sports,FIFA,5529131886,19400000,,,,
808,Entertainment,ADEL et SAMI,5465532801,13900000,,,,
642,People & Blogs,Roman Atwood Vlogs,5469103954,15400000,,,,
787,Autos & Vehicles,Supercar Blondie,5405563355,14100000,,,,
828,Comedy,FAPTV,5457203710,13700000,,,,
898,Entertainment,RedeTV,5333569294,13100000,,,,
670,People & Blogs,Mohamed Ramadan I ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,5324913850,15100000,,,,
299,Movies,Ultra Movie Parlour,5320485069,22900000,,,,
882,Education,The Infographics Show,5263540904,13200000,,,,
707,Gaming,Lachlan,5269059435,14800000,,,,
899,Music,twenty one pilots,5264039679,13100000,,,,
444,Entertainment,Sidemen,5257834105,18800000,,,,
488,Comedy,Lele Pons,5244917119,17900000,,,,
420,Entertainment,RKD Studios,5234251168,19500000,,,,
881,Entertainment,MC Divertida,5224764969,13200000,,,,
807,Entertainment,T-Series Regional,5217553897,13900000,,,,
432,Film & Animation,Goldmines Great Indian Comedy,5194942269,19100000,,,,
830,Education,infobells,5178142148,13700000,,,,
487,Entertainment,RobleisIUTU,5168721499,17900000,,,,
346,Entertainment,Infinite,5141834668,21300000,,,,
967,Music,Wave Music Bhakti,5146004207,12500000,,,,
836,Education,JOJO TV - Hindi Stories,5141201173,13600000,,,,
802,Entertainment,Crescendo com Luluca,5094050461,14000000,,,,
366,Howto & Style,5-Minute Crafts DIY,5091618606,20700000,,,,
553,People & Blogs,Tu COSMOPOLIS,5089284369,16700000,,,,
596,Music,TWICE,5055576881,16100000,,,,
529,Gaming,Willyrex,5024088947,17200000,,,,
818,People & Blogs,123 GO! Spanish,5019136690,13800000,,,,
744,People & Blogs,Boram Tube ToysReview [ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,5014888374,14500000,,,,
698,Entertainment,iTownGamePlay *Terror&Diversiï¿½ï,4977284539,14900000,,,,
827,People & Blogs,MyMissAnand,4963275018,13700000,,,,
793,Gaming,AM3NlC,4959982720,14000000,,,,
961,Entertainment,NDTV,4935793409,12500000,,,,
359,Pets & Animals,Brave Wilderness,4927879069,20900000,,,,
434,Education,ýýýýýýýýýýýýýý ýýýý,4924054368,19000000,,,,
645,Music,zayn,4909687948,15400000,,,,
743,nan,Eli Kids - Cartoons & Songs,4821183481,14500000,,,,
989,Education,Caylus,4779139505,12400000,,,,
769,People & Blogs,Super Polina,4776507159,14300000,,,,
581,Gaming,W2S,4768370464,16300000,,,,
646,People & Blogs,Kerajinan 5-Menit,4750420071,15400000,,,,
214,Entertainment,BB Ki Vines,4749833967,26300000,,,,
683,Gaming,PlayStation,4741434420,15000000,,,,
939,Howto & Style,Blossom,4733873025,12700000,,,,
891,Music,Lokdhun Punjabi,4712624489,13100000,,,,
380,Entertainment,SlivkiShow,4707412332,20400000,,,,
725,Music,Camila Loures,4684983333,14700000,,,,
795,People & Blogs,TV Ana Emilia,4674164601,14000000,,,,
792,Entertainment,Bie The Ska,4627069704,14100000,,,,
960,Entertainment,Parafernalha,4625777945,12500000,,,,
729,People & Blogs,Planeta das Gï¿½ï¿½,4622581344,14600000,,,,
850,nan,Vlad y Niki Show,4622628957,13400000,,,,
896,Music,Hungria Hip Hop,4608751851,13100000,,,,
540,Entertainment,VICE,4609753237,16900000,,,,
742,News & Politics,BBC News,4598387043,14500000,,,,
762,Howto & Style,Rosanna Pansino,4597228794,14400000,,,,
911,Comedy,The LaBrant Fam,4637474071,13000000,,,,
934,Music,Adexe & Nau,4579773883,12700000,,,,
738,Entertainment,les boys tv2,4577292740,14500000,,,,
431,Comedy,TheOdd1sOut,4566120190,19100000,,,,
458,People & Blogs,The ACE Family,4558380251,18500000,,,,
159,Gaming,AboFlah,4521573939,30500000,,,,
352,People & Blogs,Baim Paula,4526271677,21100000,,,,
653,Comedy,The MriDul,4503880875,15200000,,,,
427,Science & Technology,Unbox Therapy,4508184467,19300000,,,,
638,Howto & Style,ýýýýýýýý ýýýýýýýýýýýýýý ýýýý 5 ýýýýýýýýýý,4499826716,15500000,,,,
326,People & Blogs,Stokes Twins,4469711607,21800000,,,,
322,Film & Animation,Ben Azelart,4454917643,21900000,,,,
969,Comedy,CKM,4465772496,12500000,,,,
172,Comedy,ashish chanchlani vines,4457913639,29800000,,,,
530,Comedy,TheBrianMaps,4448334716,17100000,,,,
206,People & Blogs,Beast Reacts,4388047013,26700000,,,,
567,Comedy,Kaykai Salaider,4434679706,16400000,,,,
895,People & Blogs,ýýýýýýýýýýýýýýý Ms Yeah,4399833602,13100000,,,,
697,Music,melanie martinez,4395184343,14900000,,,,
677,Gaming,MoreAliA,4352427049,15000000,,,,
959,Howto & Style,Troom Troom PT,4384177908,12500000,,,,
353,Entertainment,nigahiga,4380564906,21000000,,,,
857,Gaming,H2ODelirious,4356686216,13400000,,,,
910,Music,7 Minutoz,4349562794,13000000,,,,
160,Entertainment,AH,4332274962,30400000,,,,
428,People & Blogs,shane,4329121104,19200000,,,,
750,Music,Saad Lamjarred | ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,4315486422,14500000,,,,
840,Gaming,Typical Gamer,4301581610,13500000,,,,
933,Comedy,Franco Escamilla,4266957149,12700000,,,,
60,Comedy,whinderssonnunes,4274709210,44200000,,,,
741,Entertainment,Reaction Time,4260187928,14500000,,,,
668,Gaming,Makiman131,4236036141,15100000,,,,
894,Film & Animation,Peppa Pig em Portuguï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,4214172991,13100000,,,,
501,Music,Lil Pump,4196061192,17700000,,,,
880,nan,Vilmei,4205664894,13200000,,,,
866,Entertainment,Vogue,4177184071,13300000,,,,
761,People & Blogs,Indore Physical Academy,4156427797,14400000,,,,
958,nan,Bebefinn - Nursery Rhymes & Kids Songs,4163639093,12500000,,,,
616,People & Blogs,Arif muhammad,4122634467,15800000,,,,
873,Gaming,BanderitaX,4129249415,13300000,,,,
461,Entertainment,PDK Films,4120324310,18400000,,,,
178,Comedy,AuronPlay,4079141673,29200000,,,,
585,Gaming,JJ Olatunji,4076692623,16200000,,,,
267,Entertainment,James Charles,4067878931,23900000,,,,
460,People & Blogs,Willie Salim,4051072188,18500000,,,,
772,Film & Animation,Invento na Hora,4040297006,14200000,,,,
719,Education,StudyIQ IAS,4029253667,14700000,,,,
118,Entertainment,Jess No Limit,3963007415,34000000,,,,
696,Entertainment,ERB,4033400167,14900000,,,,
979,Entertainment,Heidi and Zidane HZHtube,4021409291,12400000,,,,
